,date_dt,city_code,district_code,dwell,flow_in,flow_out
18125,2017-08-24,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.032,54.044,54.01200000000001
18213,2017-08-25,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.1399999999999997,56.38000000000002,56.431999999999974
18490,2017-08-26,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.048,58.04399999999999,58.11599999999999
18682,2017-08-27,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.064,57.90800000000002,57.732000000000006
18918,2017-08-28,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.056,59.376000000000005,59.32
19028,2017-08-29,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.124,58.94799999999998,58.959999999999994
19368,2017-08-30,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.972,56.15200000000002,56.07199999999999
19389,2017-08-31,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.088,57.78800000000001,57.95999999999998
19656,2017-09-01,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.06,58.14799999999999,58.15200000000002
19796,2017-09-02,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.132,57.143999999999984,57.18799999999999
20110,2017-09-03,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.128,56.88800000000002,56.82000000000002
20311,2017-09-04,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.064,57.52400000000001,57.432000000000016
20463,2017-09-05,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.1919999999999995,58.78799999999998,58.98800000000002
20741,2017-09-06,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.9640000000000002,56.99199999999998,57.228
